abstract,keywords,author,url,doi,issn,year,pages,volume,journal,title,ENTRYTYPE,ID
"This study proposed to investigate the thermal properties and subjective thermal discomfort of five virtual reality headsets, and their relationships. Twenty-seven university students used each of the five headsets for 45Â min. Microclimate temperature and relative humidity were measured by miniature dataloggers. Infrared thermography was used to measure temperature distribution on the contact points between user's face and the headsets. Participants reported subjective thermal discomfort associated with using each headset. The average microclimate temperature and relative humidity increased by 7.8Â Â°C and 3.5% respectively after headset use. Overall subjective thermal discomfort increased along with duration of use and came primarily from the display. Applying the linear mixed-effects model showed that subjective thermal discomfort is positively correlated with duration of use, microclimate temperature, relative humidity and display coverage area. Conversely, thermal discomfort is negatively correlated with total coverage area, with microclimate temperature acting as the most significant contributing factor. The headsets were ranked by pairing the objective measurements with subjective evaluations.","Virtual reality headsets, Thermal comfort, Microclimate",Zihao Wang and Renke He and Ke Chen,https://www.sciencedirect.com/science/article/pii/S0003687018304010,https://doi.org/10.1016/j.apergo.2020.103066,0003-6870,2020,103066,85,Applied Ergonomics,Thermal comfort and virtual reality headsets,article,WANG2020103066
"A one-pedal system for operating an electric vehicle allows drivers to flexibly accelerate and decelerate (and even stop) by using just an accelerator pedal. Based on previous findings, one-pedal operation is considered to have the potential to increase positive emotions and decrease cognitive workload. To test this possibility, the present study compared the emotional state and cognitive workload between one-pedal and conventional two-pedal operation. Participants drove a vehicle on public roads, and driving enjoyment (i.e., pleasure and immersion) and the cognitive workload (i.e., ease and effortlessness) were assessed by means of questionnaires. In addition, physiological variations associated with driving pleasure and difficulty were assessed by electroencephalography (EEG). Both the questionnaire and EEG results revealed an increase in driving enjoyment in one-pedal operation. On the other hand, only the EEG results suggested a decrease in the cognitive workload in one-pedal operation; the questionnaire results did not show a significant difference between the pedal conditions. These findings support the notion that one-pedal operation has a positive influence on the driver's mental state, though its influence on the cognitive workload will require further investigation. We discuss future directions toward a better understanding of the effects of one-pedal operation on the driver's mental state.","One-pedal operation, Electric vehicle, Emotion, Workload, Attentional resources, Electroencephalogram",Fumie Sugimoto and Motohiro Kimura and Yuji Takeda and Motoyuki Akamatsu and Satoshi Kitazaki and Kazuo Yajima and Yonosuke Miki,https://www.sciencedirect.com/science/article/pii/S0003687020301332,https://doi.org/10.1016/j.apergo.2020.103179,0003-6870,2020,103179,88,Applied Ergonomics,Effects of one-pedal automobile operation on the driver's emotional state and cognitive workload,article,SUGIMOTO2020103179
"Surgery has changed significantly in recent years due to the introduction of advanced technologies, resulting in increased system complexity at the technical, human and organisational levels, which may lead to higher variability of patient outcome due to new error pathways. Current approaches towards a safer surgery are largely based on ex-post analysis of events and process monitoring (e.g. root cause analysis, safety checklists, safety audits). However, adopting a proactive approach enables the prior identification of critical factors and the design of safer sociotechnical systems, thanks to a multi-level (or mesoergnomics) perspective. In this paper, a methodology for performing mesoergonomics analysis of surgical procedures is proposed. It is a methodology for Dynamic Human Reliability Analysis in Robotic Surgery based on a modified version of human error assessment and reduction technique (HEART) integrated with a method for incorporating uncertainties related to the influence of personal and organisational factors on the execution of a surgical procedure. The pilot application involves a robot-assisted radical prostatectomy procedure, and the results reveal that team-related factors have the greatest impact on patient outcome variability.","Human reliability analysis (HRA), HEART, Dynamic event tree (DET), Healthcare, Robotic surgery",Rossella Onofrio and Paolo Trucco,https://www.sciencedirect.com/science/article/pii/S0003687020301058,https://doi.org/10.1016/j.apergo.2020.103150,0003-6870,2020,103150,88,Applied Ergonomics,A methodology for Dynamic Human Reliability Analysis in Robotic Surgery,article,ONOFRIO2020103150
"Truck platoon driving is a current branch of automated driving, which has the potential to radically change the work routine of professional drivers. In a platoon system, one truck (semi-)automatically follows a lead truck with a reduced distance, which produces significant savings in fuel and enables better traffic flow. In a current application of truck platoon driving, the following vehicle operates at level-2 automation. Thus, the driver of the following truck merely has to supervise the semi-automated system, which takes over steering and speed control when engaged. Level-2 truck platoon driving had not been tested with professional drivers in real traffic before. We hypothesized that user acceptance would improve after the experience of platoon driving. Quantitative questionnaires and qualitative interviews were conducted with 10 drivers before and after an extensive Autobahn experience. The results show a clear increase of acceptance after the experience. Platoon driving was evaluated to be more useful, easier to use, and safer after the experience. Besides perceived driving safety, the prestige of truck platooning, the perceived usefulness of the system, and general technology affinity co-determined user acceptance.","Truck platoon driving, Technology acceptance, Professional driver",Sarah-Maria Castritius and Heiko Hecht and Johanna MÃ¶ller and Christoph J. Dietz and Patric Schubert and Christoph Bernhard and Simone Morvilius and Christian T. Haas and Sabine Hammer,https://www.sciencedirect.com/science/article/pii/S0003687019302480,https://doi.org/10.1016/j.apergo.2019.103042,0003-6870,2020,103042,85,Applied Ergonomics,Acceptance of truck platooning by professional drivers on German highways. A mixed methods approach,article,CASTRITIUS2020103042
"This paper presents a new handle for instruments used in laparoscopic surgery. This new handle has been designed to provide the best ergonomic and usability features required in this kind of surgical interventions. The main novelty of this handle is that the opening and closing motion of the end-effector is operated with the thumb using a lever located on the top of the handle. This enables the surgeon to reach the patient's organs without adopting extremely awkward postures. In order to demonstrate its advantages, the handle has been tested and compared with another commercial handle in terms of efficiency, effectiveness, and satisfaction. To this end, volunteers have been selected for participation in the experimental evaluation, which comprised two types of surveys: objective and subjective. Electromyography and goniometric studies provide objective parameters for evaluation. Questionnaires are used for the subjective assessment. Outstanding results include the lower level of pain reported by the individuals working with the new handle, as well as the reduction in the hyperflexion of the wrist. Compared with the conventional handle, electromyography reveals that no muscle load is increased when working with the new handle. The results of the subjective survey show that volunteers expressed a significant preference for the new handle, demonstrating an improvement in the ergonomic characteristics.","Laparoscopic surgery, Handle design, Biomechanics",Ramon Sancibrian and Carlos Redondo-Figuero and Maria C. Gutierrez-Diez and Esther Gonzalez-Sarabia and Jose C. Manuel-Palazuelos,https://www.sciencedirect.com/science/article/pii/S0003687020301617,https://doi.org/10.1016/j.apergo.2020.103210,0003-6870,2020,103210,89,Applied Ergonomics,Ergonomic evaluation and performance of a new handle for laparoscopic tools in surgery,article,SANCIBRIAN2020103210
"Occupants of autonomous vehicle have frequently indicated the desire to sleep or rest while driving, yet little has been known regarding the suitable design criteria for a biomechanically reasoned in-vehicle sleeping position. This study was aimed at evaluating the biomechanical quality of different backrest and seat pan angle combinations, and at predicting the most favourable sleeping positions based on vehicle restriction. More specifically, the interface pressure distribution and subjective suitability rating of 23 subjects was assessed in a total of nine (3Â Ã?Â 3) combinations of seat pan (20Â°, 30Â°, 40Â°) and backrest (145Â°, 155Â°, 165Â°) angles. Biomechanical quality was evaluated with an interface pressure score (IPS) based on sensitivity weighted pressures and the total contact area. Two-way repeated measures ANOVA revealed that IPS significantly improves with increasing seat pan angle whereas backrest angles of 155Â° or 165Â° lead to significant better IPS compared to flatter ones (145Â°). The overall highest IPS was observed for a 40Â°-seat pan angle in combination with a 155Â°-backrest angle. Subjective suitability rating revealed that people prefer a combination of 165Â° backrest angle with a seat pan of 20Â°; however, eight of nine combinations can be considered as suitable for sleeping. Therefore, the combination of a 40Â°-seat pan angle and 155Â° backrest is recommended by the present study for an in-vehicle sleeping position due to the increased biomechanical quality.","Autonomous driving, Automated driving, Sleeping posture, Seating, Seat design, Posture variation, Posture analysis, Interface pressure, Transportation, Biomechanics, Ergonomics",Maximilian J. Stanglmeier and Florian K. Paternoster and Susanne Paternoster and Raphael J. Bichler and Peer-Oliver Wagner and Ansgar Schwirtz,https://www.sciencedirect.com/science/article/pii/S0003687020300648,https://doi.org/10.1016/j.apergo.2020.103103,0003-6870,2020,103103,86,Applied Ergonomics,Automated driving: A biomechanical approach for sleeping positions,article,STANGLMEIER2020103103
"Recently, several spinal exoskeletons were developed with the aim to assist occupational tasks such as load-handling and work in prolonged static postures. While the biomechanical effects of such devices has been well investigated, only limited feedback to the developers is usually provided regarding the subjective perceptions of the end-users. The aim of this study was to present a novel battery of tests, designed to assess functional performance and subjective outcomes during the use of assistive trunk exoskeletons, and to assess its test-retest reliability. The battery of tests consists of 12 different simple functional tasks. Twenty participants were included in an intra-session reliability test and repeated the tests within 7â??10 days to assess inter-session reliability. They were wearing a novel passive spinal exoskeleton during all trials. The outcomes included quantitative and subjective measures, such as performance time and rating of discomfort and perceived task difficulty. The majority of the outcome measures were reliable within session and between sessions (ICC or Î±Â >Â 0.80). Systematic effects were observed in a few tasks, suggesting that familiarization trials will be needed to minimize the learning effects. The novel battery of tests could become an important easy-to-use tool for functional testing of the spinal exoskeletons in addition to more specific biomechanical and physiological testing. Further studies should address the reliability of the present battery of tests for assessing specific populations, such as low back pain patients and explore how to minimize systematic effects that were observed in this study.","Robotics, Assistive device, Functional test, Trunk, Low back pain",Å½iga Kozinc and Saskia Baltrusch and Han Houdijk and Nejc Å arabon,https://www.sciencedirect.com/science/article/pii/S0003687020300764,https://doi.org/10.1016/j.apergo.2020.103117,0003-6870,2020,103117,86,Applied Ergonomics,Reliability of a battery of tests for functional evaluation of trunk exoskeletons,article,KOZINC2020103117
"Visual-to-auditory sensory substitution devices (SSDs) provide improved access to the visual environment for the visually impaired by converting images into auditory information. Research is lacking on the mechanisms involved in processing data that is perceived through one sensory modality, but directly associated with a source in a different sensory modality. This is important because SSDs that use auditory displays could involve binaural presentation requiring both ear canals, or monaural presentation requiring only one â?? but which ear would be ideal? SSDs may be similar to reading, as an image (printed word) is converted into sound (when read aloud). Reading, and language more generally, are typically lateralised to the left cerebral hemisphere. Yet, unlike symbolic written language, SSDs convert images to sound based on visuospatial properties, with the right cerebral hemisphere potentially having a role in processing such visuospatial data. Here we investigated whether there is a hemispheric bias in the processing of visual-to-auditory sensory substitution information and whether that varies as a function of experience and visual ability. We assessed the lateralization of auditory processing with two tests: a standard dichotic listening test and a novel dichotic listening test created using the auditory information produced by an SSD, The vOICe. Participants were tested either in the lab or online with the same stimuli. We did not find a hemispheric bias in the processing of visual-to-auditory information in visually impaired, experienced vOICe users. Further, we did not find any difference between visually impaired, experienced vOICe users and sighted novices in the hemispheric lateralization of visual-to-auditory information processing. Although standard dichotic listening is lateralised to the left hemisphere, the auditory processing of images in SSDs is bilateral, possibly due to the increased influence of right hemisphere processing. Auditory SSDs might therefore be equally effective with presentation to either ear if a monaural, rather than binaural, presentation were necessary.","Dichotic listening, Blindness, Sensory substitution, Audiovisual, Ergonomics, Hemispheric lateralization",Michael J. Proulx and David J. Brown and Tayfun Lloyd-Esenkaya and Jack Barnett Leveson and Orlin S. Todorov and Samuel H. Watson and Alexandra A. {de Sousa},https://www.sciencedirect.com/science/article/pii/S0003687020300247,https://doi.org/10.1016/j.apergo.2020.103072,0003-6870,2020,103072,85,Applied Ergonomics,Visual-to-auditory sensory substitution alters language asymmetry in both sighted novices and experienced visually impaired users,article,PROULX2020103072
"Patient lateral transfers between two adjacent surfaces pose high musculoskeletal disorder risks for nurses and patient handlers. The purpose of this research was to examine the ergonomic benefits of utilizing the laterally-tilting function of operating room (OR) tables during such transfers â?? along with different friction-reducing devices (FRD). This method allows the patient to slide down to the adjacent surface as one nurse guides the transfer and another controls the OR table angle with a remote control. Sixteen nursing students and sixteen college students were recruited to act as nurses and patients, respectively. Two OR table angles were examined: flat and tilted. Three FRD conditions were considered: a standard blanket sheet, a plastic bag, and a slide board. Electromyography (EMG) activities were measured bilaterally from the posterior deltoids, upper trapezii, latissimus dorsi, and lumbar erector spinae muscles. The Borg-CR10 scale was used for participants to rate their perceived physical exertions. The efficiency of each method was measured using a stopwatch. Results showed that the tilted table technique completely replaced the physical efforts that would have been exerted by the pushing-nurse, in that muscle activation did not increase in the pulling-nurse. On the contrary, EMG activities of the pulling-nurse for most of the muscles significantly decreased (pÂ <Â 0.05). The subjective Borg-ratings also favored the tilted table with significantly lower ratings. However, the tilted table required on average 7.22Â s more than the flat table to complete the transfer (pÂ <Â 0.05). The slide board and plastic bag were associated with significantly lower Borg-ratings and EMG activities for most muscles than blanket sheet, but they both were not significantly different from each other. However, they each required approximately 5Â s more than the blanket sheet method to complete the patient transfer (pÂ <Â 0.05). By switching from flatÂ +Â blanket sheet to tiltedÂ +Â slide board, EMG activities in all muscles decreased in the range of 18.4â??72.3%, and Borg-ratings decreased from about 4 (somewhat difficult) to 1 (very light). The findings of this study propose simple, readily available ergonomic interventions for performing patient lateral transfers that can have significant implications for nursesâ?? wellbeing and efficiency.","Patient lateral transfer, Operating room table angle, Friction-reducing device, Ergonomics, Electromyography",Saif K. Al-Qaisi and Adnan {El Tannir} and Lina A. Younan and Roland N. Kaddoum,https://www.sciencedirect.com/science/article/pii/S0003687020300806,https://doi.org/10.1016/j.apergo.2020.103122,0003-6870,2020,103122,87,Applied Ergonomics,An ergonomic assessment of using laterally-tilting operating room tables and friction reducing devices for patient lateral transfers,article,ALQAISI2020103122
"Physiological indicators, including eye tracking measures, may provide insight into human decision making and cognition in many domains, including weather forecasting. Situation awareness (SA), a critical component of forecast decision making, is commonly conceptualized as the degree to which information is perceived, understood, and projected into a future context. Drawing upon recent applications of eye tracking in the study of forecaster decision making, we investigate the relationship among eye movement measures, automation, and SA assessed through a freeze probe assessment method. In addition, we explore the relationship between an automated forecasting decision aid use and information seeking behavior. In this study, a sample of professional weather forecasters completed a series of tasks, informed by a set of forecasting decision aids, and with variable access to an experimental automated tool, while an eye tracking system captured data related to eye movements and information usage. At the end of each forecasting task, participants responded to a set of questions related to the environmental situation in the framework of a survey-based assessment technique in order to assess their level of situation awareness. Regression analysis revealed a moderate relationship between the SA measure and eye tracking metrics, supporting the hypothesis that eye tracking may have utility in assessing SA. The results support the use of eye tracking in the assessment of specific and measurable attributes of the decision-making process in weather forecasting. The findings are discussed in light of potential benefits that eye tracking could bring to human performance assessment as well as decision-making research in the forecasting domain.","Situation awareness, Human factors, Assessment, Eye tracking, Weather forecasting",Elizabeth M. Argyle and Jonathan J. Gourley and Ziho Kang and Randa L. Shehab,https://www.sciencedirect.com/science/article/pii/S0003687018302485,https://doi.org/10.1016/j.apergo.2020.103071,0003-6870,2020,103071,85,Applied Ergonomics,Investigating the relationship between eye movements and situation awareness in weather forecasting,article,ARGYLE2020103071
