abstract,keywords,author,url,doi,issn,year,pages,volume,journal,title,ENTRYTYPE,ID
"Partial domain adaptation (PDA) is a special domain adaptation task where the label space of the target domain is a subset of the source domain. In this work, we present a novel adversarial PDA method named Confidence Based Class Weight and Embedding Discrepancy Constraint Network (CEN). Specifically, we design a robust weighting scheme that takes sample confidence and class information into account. It can automatically distinguish outlier samples in the source domain and reduce their importance. Besides, we consider the relationship between feature norm and domain shift. We limit the expectation of the feature norms of both domains to an adaptive value. By this means, we can align the feature distributions and help the deep model learn domain-invariant representations. Comprehensive experiments on three domain adaptation datasets Office-31, Office-home, and Visda2017 show that our approach surpasses state-of-the-art methods on various PDA tasks.","Partial domain adaptation, Deep transfer learning, Adversarial alignment, Classification learning",Mingkai Luo and Zhao Yang and Weiwei Ai and Jiehao Liu,https://www.sciencedirect.com/science/article/pii/S104732032200150X,https://doi.org/10.1016/j.jvcir.2022.103630,1047-3203,2022,103630,88,Journal of Visual Communication and Image Representation,Confidence based class weight and embedding discrepancy constraint network for partial domain adaptation,article,LUO2022103630
"Siamese trackers have attracted considerable attention in the field of object tracking because of their high precision and speed. However, one of the main disadvantages of Siamese trackers is that their feature extraction network is relatively single. They often use AlexNet or ResNet50 as the backbone network. AlexNet is shallow and thus cannot easily extract abundant semantic information, whereas ResNet50 has many convolutional layers, reducing the real-time performance of Siamese trackers. We propose a multi-branch feature aggregation network with different designs in the shallow and deep convolutional layers. We use the residual module to build the shallow convolutional layers to extract textural and edge features. The deep convolution layers, designed with two independent branches, are built with residual and parallel modules to extract different semantic features. The proposed network has a depth of only nine modules, and thus it is a simple and effective network. We then apply the network to a Siamese tracker to form SiamMBFAN. We design multi-layer classification and regression subnetworks in the Siamese tracker by aggregating the last three modules of the two branches, improving the localization ability of the tracker. Our tracker achieves a better balance between performance and speed. Finally, SiamMBFAN is tested on four challenging benchmarks, including OTB100, VOT2016, VOT2018, and UAV123. Compared with other trackers, our tracker improves by 7% (OTB100).","Visual tracking, Siamese network, Multi-branch network, Feature aggregation",Hao Zhang and Yan Piao and Bailiang Huang and Baolin Tan,https://www.sciencedirect.com/science/article/pii/S1047320322001912,https://doi.org/10.1016/j.jvcir.2022.103671,1047-3203,2022,103671,89,Journal of Visual Communication and Image Representation,SiamMBFAN: Siamese tracker with multi-branch feature aggregation network,article,ZHANG2022103671
"Human visual theory is closely related to stereo image quality assessment (SIQA), which determines whether the evaluation results of SIQA method can keep good consistency with subjective perception. Many SIQA methods are not fully based on human visual theory, so there is still room for improvement. The research on the visual system tends to the dorsal and ventral pathways, which ignores the information differences in the early visual pathways. It is worth noting that the ON and OFF receptive fields in retinal ganglion cells (RGCs) respond asymmetrically to the statistical features of images. Inspired by this, in this paper, we propose an SIQA method based on monocular and binocular visual features, which takes into account the difference of ON and OFF response features in early visual pathways. Moreover, the different information interaction mechanisms of visual cortex are used to fuse the response maps information of left and right images. Final, monocular and binocular features are extracted and sent to support vector regression (SVR) for quality prediction. Experimental results show that the proposed method is superior to several mainstream SIQA metrics on four publicly available stereo image databases.","Stereo image quality assessment, Retinal ganglion cells, ON and OFF receptive fields, Monocular and binocular features",Yongli Chang and Sumei Li and Jie Jin and Anqi Liu and Wei Xiang,https://www.sciencedirect.com/science/article/pii/S1047320322001638,https://doi.org/10.1016/j.jvcir.2022.103643,1047-3203,2022,103643,89,Journal of Visual Communication and Image Representation,Stereo image quality assessment considering the difference of statistical feature in early visual pathway,article,CHANG2022103643
"Versatile video coding (VVC) is the newest video compression standard. It adopts quadtree with nested multi-type tree (QT-MTT) to encode square or rectangular coding units (CUs). The QT-MTT coding structure is more flexible for encoding video texture, but it is also accompanied by many time-consuming algorithms. So, this work proposes fast algorithms to determine horizontal or vertical split for binary or ternary partition of a 32Â ÃÂ 32 CU in the VVC intra coding to replace the rate-distortion optimization (RDO) process, which is time-consuming. The proposed fast algorithms are actually a two-step algorithm, including feature analysis method and deep learning method. The feature analysis method is based on variances of pixels, and the deep learning method applies the convolution neural networks (CNNs) for classification. Experimental results show that the proposed method can reduce encoding time by 28.94% on average but increase Bjontegaard delta bit rate (BDBR) by about 0.83%.","Versatile video coding, Quadtree with nested multi-type tree, Coding unit, Intra coding, Convolutional neural network",Jiunn-Tsair Fang and Bang-Hao Liu and Pao-Chi Chang,https://www.sciencedirect.com/science/article/pii/S1047320322000827,https://doi.org/10.1016/j.jvcir.2022.103542,1047-3203,2022,103542,87,Journal of Visual Communication and Image Representation,Fast coding unit partitioning algorithms for versatile video coding intra coding,article,FANG2022103542
"Recently, the task of lane detection has been greatly improved with the rapid development of deep learning and autonomous driving. However, there exist limitations like the challenging complex scenarios and real-time efficiency. In this paper, we present a novel Attention Based Dual Path Network (ADPNet) to handle the task of lane detection. The ADPNet treat the process of lane detection as a task of binary semantic segmentation, where the Detail Path is designed to capture detailed low-level information and the Semantic Path with dual attention module is designed to capture contextual high-level information. We use the Feature Aggregation Module to fuse the information of the two paths, followed by the process of lane fitting to get a parametric description of lanes. The proposed ADPNet achieves good trade-off between the accuracy and real-time efficiency on TuSimple and CULane, which are two popular lane detection benchmark datasets. The results demonstrate that our architecture outperforms the current state-of-the-art methods.","Lane detection, Semantic segmentation, Attention mechanism, Lane fitting",Fenglei Ren and Haibo Zhou and Lu Yang and Fulong Liu and Xin He,https://www.sciencedirect.com/science/article/pii/S1047320322001080,https://doi.org/10.1016/j.jvcir.2022.103574,1047-3203,2022,103574,87,Journal of Visual Communication and Image Representation,ADPNet: Attention based dual path network for lane detection,article,REN2022103574
"Attention modules embedded in deep networks mediate the selection of informative regions for object recognition. In addition, the combination of features learned from different branches of a network can enhance the discriminative power of these features. However, fusing features with inconsistent scales is a less-studied problem. In this paper, we first propose a multi-scale channel attention network with an adaptive feature fusion strategy (MSCAN-AFF) for face recognition (FR), which fuses the relevant feature channels and improves the networkâs representational power. In FR, face alignment is performed independently prior to recognition, which requires the efficient localization of facial landmarks, which might be unavailable in uncontrolled scenarios such as low-resolution and occlusion. Therefore, we propose utilizing our MSCAN-AFF to guide the Spatial Transformer Network (MSCAN-STN) to align feature maps learned from an unaligned training set in an end-to-end manner. Experiments on benchmark datasets demonstrate the effectiveness of our proposed MSCAN-AFF and MSCAN-STN.","Attention network, Feature alignment, Multi-scale features, Adaptive feature fusion",M. Saad Shakeel and Yuxuan Zhang and Xin Wang and Wenxiong Kang and Arif Mahmood,https://www.sciencedirect.com/science/article/pii/S1047320322001481,https://doi.org/10.1016/j.jvcir.2022.103628,1047-3203,2022,103628,88,Journal of Visual Communication and Image Representation,Multi-scale attention guided network for end-to-end face alignment and recognition,article,SHAKEEL2022103628
"With the popularity of cloud servers, an increasing number of people are willing to store their images in the cloud due to many conveniences such as online browsing and managing images. On the other hand, this inevitably causes usersâ concerns about image privacy leakage. Many image encryption schemes are proposed to prevent privacy leakage, while most of them focus only on privacy protection and ignore the usability of encrypted images. For this purpose, Marohn etÂ al. (2017) designed two approximate thumbnail-preserving encryption (TPE) schemes to balance image privacy and usability. However, the decrypted image in these two schemes are only perceptually close to the original one and the original image cannot be perfectly recovered. To this end, we design a perfectly recoverable approximate TPE scheme in this paper, which combines reversibledata hiding (RDH) with encryption schemes. The thumbnails of the original and processed images are similar to balance image privacy and usability well. Meanwhile, the reversibility of RDH and encryption schemes is utilized to ensure the perfect recoverability in the proposed scheme. Experiments show that the proposed approximate TPE scheme is no longer limited to balancing usability and privacy but attains perfect recovery.","Difference expansion, Privacy protection, Perfect recoverability, Approximate thumbnail-preserving encryption",Xi Ye and Yushu Zhang and Ruoyu Zhao and Rushi Lan and Yong Xiang,https://www.sciencedirect.com/science/article/pii/S1047320322001122,https://doi.org/10.1016/j.jvcir.2022.103589,1047-3203,2022,103589,87,Journal of Visual Communication and Image Representation,PRA-TPE: Perfectly Recoverable Approximate Thumbnail-Preserving Image Encryption,article,YE2022103589
"Most of the time, when people observe, interact or speak to each other, they focus the attention on the ocular parts of the face. This daily life experience has a strong impact on the analysis of periocular facial regions. These facial regions may be exploited in order to identify individuals for several applications, including access control and services such as telebanking and electronic transactions. In this paper we suggest studying the efficiency of the periocular regions on gender and race prediction. Most researchers propose a local texture description based on LBP (Local Binary Pattern) and HoG (Histogram of Oriented Gradients) for the purpose of predicting gender. On the other hand, Deep learning techniques were proposed to predict the gender. However, this requires a huge labeled periocular data for gender which is not available. Also, the expressivity of gender and race can be decreased on the final representation of the Deep architectures comparing to the earlier stages. To overcome these points and for the aim of predicting gender and race, considering also the high impact of DCNNs (Deep Convolutional Neural Networks) techniques to solve several aspects in biometrics, we suggest a Deep architecture based on visual attention on the periocular part. The visual saliency extraction is based on primary layersâ activation by analyzing the feature-maps. We study how the visual attention-based features coupled to Deep Neural Networks can be used to discriminate between gender and race, hence extract a significant feature from periocular regions. Different pretrained architectures such as Alexnet and ResNet-50 were considered to extract visual saliency points or interest points. Several experiments were performed on periocular regions and a comparative study was conducted. The present results not only demonstrate the feasibility but also the robustness of the extracted interest points.","Visual-attention, Periocular regions, Gender prediction, Deep learning, Local description",Souad Khellat-Kihel and Jawad Muhammad and Zhenan Sun and Massimo Tistarelli,https://www.sciencedirect.com/science/article/pii/S104732032200147X,https://doi.org/10.1016/j.jvcir.2022.103627,1047-3203,2022,103627,88,Journal of Visual Communication and Image Representation,Gender and ethnicity recognition based on visual attention-driven deep architectures,article,KHELLATKIHEL2022103627
"Cross-modal retrieval attracts much research attention due to its wide applications in numerous search systems. Sketch based 3D shape retrieval is a typical challenging cross-modal retrieval task for the huge divergence between sketch modality and 3D shape view modality. Existing approaches project the sketches and shapes into a common space for feature update and data alignment. However, these methods contain several disadvantages: Firstly, the majority approaches ignore the modality-shared information for divergence compensation in descriptor generation process. Secondly, traditional fusion method of multi-view features introduces much redundancy, which decreases the discrimination of shape descriptors. Finally, most approaches only focus on the cross-modal alignment, which omits the modality-specific data relevance. To address these limitations, we propose a Joint Feature Learning Network (JFLN). Firstly, we design a novel modality-shared feature extraction network to exploit both modality-specific characteristics and modality-shared information for descriptor generation. Subsequently, we introduce a hierarchical view attention module to gradually focus on the effective information for multiview feature updating and aggregation. Finally, we propose a novel cross-modal feature learning network, which can simultaneously contribute to modality-specific data distribution and cross-modal data alignment. We conduct exhaustive experiments on three public databases. The experimental results validate the superiority of the proposed method. Full Codes are available at https://github.com/dlmuyy/JFLN.","Sketch-based 3D shape retrieval, Attention mechanism, Cross-modal retrieval",Yue Zhao and Qi Liang and Ruixin Ma and Weizhi Nie and Yuting Su,https://www.sciencedirect.com/science/article/pii/S1047320322001882,https://doi.org/10.1016/j.jvcir.2022.103668,1047-3203,2022,103668,89,Journal of Visual Communication and Image Representation,JFLN: Joint Feature Learning Network for 2D sketch based 3D shape retrieval,article,ZHAO2022103668
"Raw point cloud processing using capsule networks is widely adopted in classification, reconstruction, and segmentation due to its ability to preserve spatial agreement of the input data. However, most of the existing capsule based network approaches are computationally heavy and fail at representing the entire point cloud as a single capsule. We address these limitations in existing capsule network based approaches by proposing PointCaps, a novel convolutional capsule architecture with parameter sharing. Along with PointCaps, we propose a novel Euclidean distance routing algorithm and a class-independent latent representation. The latent representation captures physically interpretable geometric parameters of the point cloud, with dynamic Euclidean routing, PointCaps well-represents the spatial (point-to-part) relationships of points. PointCaps has a significantly lower number of parameters and requires a significantly lower number of FLOPs while achieving better reconstruction with comparable classification and segmentation accuracy for raw point clouds compared to state-of-the-art capsule networks.","Point cloud reconstruction, Classification, Capsule networks, Error routing",Dishanika Denipitiyage and Vinoj Jayasundara and Ranga Rodrigo and Chamira U.S. Edussooriya,https://www.sciencedirect.com/science/article/pii/S1047320322001365,https://doi.org/10.1016/j.jvcir.2022.103612,1047-3203,2022,103612,88,Journal of Visual Communication and Image Representation,PointCaps: Raw point cloud processing using capsule networks with Euclidean distance routing,article,DENIPITIYAGE2022103612
