abstract,keywords,author,url,doi,issn,year,pages,volume,journal,title,ENTRYTYPE,ID,note
"Change detection between heterogeneous images has become an increasingly interesting research topic in remote sensing. The different appearances and statistics of heterogeneous images bring great challenges to this task. In this paper, we propose an unsupervised iterative structure transformation and conditional random field (IST-CRF) based multimodal change detection (MCD) method, combining an imaging modality-invariant based structure transformation method with a random filed framework specifically designed for MCD, to acquire an optimal change map within a global probabilistic model. IST-CRF first constructs graphs to represent the structures of the images, and transforms the heterogeneous images to the same differential domain by using graph based forward and backward structure transformations. Then, the change vectors are calculated to distinguish the changed and unchanged areas. Finally, in order to classify the change vectors and compute the binary change map, a CRF model is designed to fully explore the spectral-spatial information, which incorporates the change information, local spatially-adjacent neighbor information, and global spectrally-similar neighbor information with a random field framework. As the changed samples will influence the structure transformation and reduce the quality of change vectors, we use an iterative framework to propagate the CRF segmentation results back to the structure transformation process that removes the changed samples, and thus improve the accuracy of change detection. Experiments conducted on different real data sets show the effectiveness of IST-CRF. Source code of the proposed method will be made available at https://github.com/yulisun/IST-CRF.","Unsupervised change detection, KNN graph, Image transformation, Multimodal, Conditional random field",Yuli Sun and Lin Lei and Dongdong Guan and Junzheng Wu and Gangyao Kuang,https://www.sciencedirect.com/science/article/pii/S0031320322003260,https://doi.org/10.1016/j.patcog.2022.108845,0031-3203,2022,108845,131,Pattern Recognition,Iterative structure transformation and conditional random field based method for unsupervised multimodal change detection,article,SUN2022108845,
"Visual modality is one of the most dominant modalities for current continuous emotion recognition methods. Compared to which the EEG modality is relatively less sound due to its intrinsic limitation such as subject bias and low spatial resolution. This work attempts to improve the continuous prediction of the EEG modality by using the dark knowledge from the visual modality. The teacher model is built by a cascade convolutional neural network - temporal convolutional network (CNN-TCN) architecture, and the student model is built by TCNs. They are fed by video frames and EEG average band power features, respectively. Two data partitioning schemes are employed, i.e., the trial-level random shuffling (TRS) and the leave-one-subject-out (LOSO). The standalone teacher and student can produce continuous prediction superior to the baseline method, and the employment of the visual-to-EEG cross-modal KD further improves the prediction with statistical significance, i.e., p-value <0.01 for TRS and p-value <0.05 for LOSO partitioning. The saliency maps of the trained student model show that the brain areas associated with the active valence state are not located in precise brain areas. Instead, it results from synchronized activity among various brain areas. And the fast beta and gamma waves, with the frequency of 18â30Hz and 30â45Hz, contribute the most to the human emotion process compared to other bands. The code is available at https://github.com/sucv/Visual_to_EEG_Cross_Modal_KD_for_CER.","Continuous emotion recognition, Knowledge distillation, Cross-modality",Su Zhang and Chuangao Tang and Cuntai Guan,https://www.sciencedirect.com/science/article/pii/S0031320322003144,https://doi.org/10.1016/j.patcog.2022.108833,0031-3203,2022,108833,130,Pattern Recognition,Visual-to-EEG cross-modal knowledge distillation for continuous emotion recognition,article,ZHANG2022108833,
"For dimensionality reduction of HSI, many clustering-based unsupervised band selection (UBS) methods have been proposed due to their superiority of reducing the high redundancy between selected bands. However, most of these methods fail to reflect the data structure of HSI, leading to inconsistent results of band selection. To tackle this particular issue, we have proposed a novel hyperbolic clustering-based band hierarchy (HCBH) to fully represent the underlying spectral structure and obtain a more consistent band selection. With the proposed adaptive hyperbolic clustering, the performance can be effectively improved with the aid of geometrical information. By introducing a cluster-centre based ranking metric, the desired band subset can be naturally obtained during the clustering process. Experimental results on three popularly used datasets have validated the superior performance of the proposed approach, which outperforms a few state-of-the-art (SOTA) UBS approaches.","Hyperspectral image, Unsupervised band selection, Hyperbolic space clustering, Hierarchical clustering",He Sun and Lei Zhang and Jinchang Ren and Hua Huang,https://www.sciencedirect.com/science/article/pii/S0031320322002692,https://doi.org/10.1016/j.patcog.2022.108788,0031-3203,2022,108788,130,Pattern Recognition,Novel hyperbolic clustering-based band hierarchy (HCBH) for effective unsupervised band selection of hyperspectral images,article,SUN2022108788,
"Sequence representation, which is aimed at embedding sequentially symbolic data in a real space, is a foundational task in sequence pattern recognition. It is a difficult problem due to the challenges entailed in learning the intrinsic structural features within sequences in small sample size cases, in an unsupervised way. In this paper, we propose to represent each symbolic sequence by its transition probability distribution over discriminating topics, formalized by a set of optimized Hidden Markov Model (HMM) states shared by all sequences. An efficient method, called Markovian state clustering with hierarchical model selection, is proposed to optimize the Markovian states and to adaptively determine the number of topics. The proposed method is experimentally evaluated on human activity recognition and protein recognition, and results obtained demonstrate its effectiveness and efficiency.","Sequence representation, Hidden Markov model, State clustering, Hierarchical model selection, Activity recognition",Lifei Chen and Haiyan Wu and Wenxuan Kang and Shengrui Wang,https://www.sciencedirect.com/science/article/pii/S0031320322003302,https://doi.org/10.1016/j.patcog.2022.108849,0031-3203,2022,108849,131,Pattern Recognition,Symbolic sequence representation with Markovian state optimization,article,CHEN2022108849,
"We propose a first-order stochastic optimization algorithm incorporating adaptive regularization for pattern recognition problems in deep learning framework. The adaptive regularization is imposed by stochastic process in determining batch size for each model parameter at each optimization iteration. The stochastic batch size is determined by the update probability of each parameter following a distribution of gradient norms in consideration of their local and global properties in the neural network architecture where the range of gradient norms may vary within and across layers. We empirically demonstrate the effectiveness of our algorithm using an image classification task based on conventional network models applied to commonly used benchmark datasets. The quantitative evaluation indicates that our algorithm outperforms the state-of-the-art optimization algorithms in generalization while providing less sensitivity to the selection of batch size which often plays a critical role in optimization, thus achieving more robustness to the selection of regularity.","Deep network optimization, Adaptive regularization, Stochastic gradient descent, Adaptive mini-batch size",Kensuke Nakamura and Stefano Soatto and Byung-Woo Hong,https://www.sciencedirect.com/science/article/pii/S0031320322002576,https://doi.org/10.1016/j.patcog.2022.108776,0031-3203,2022,108776,129,Pattern Recognition,Stochastic batch size for adaptive regularization in deep network optimization,article,NAKAMURA2022108776,
"Data sources for medical image segmentation can be quite extensive, and models trained with data from a source domain may perform poorly on data from the target domain owing to domain shift issues. To overcome the impact of domain shift, we propose a novel meta-learning-based multi-source domain adaptation framework for medical image segmentation. Specifically, we designed a domain discriminator module to produce category prediction over the latent features, and an image reconstruction module to reconstruct the foreground and background of the target domain image separately. Furthermore, we constructed a large-scale multi-modal prostate dataset, which contained 495,902 magnetic resonance images of 419 cases, with prostate and lesion masks, as well as diagnostic descriptions for each patient. We evaluated our proposed method through extensive experiments using the proposed and the benchmark datasets. Experimental results show that our model achieves better segmentation and generalization performance compared to state-of-the-art approaches.","Latent space regularization, Meta learning, Domain generalization, Domain discriminator, Multi-source domain adaptation",Bo Zhang and Yunpeng Tan and Hui Wang and Zheng Zhang and Xiuzhuang Zhou and Jingyun Wu and Yue Mi and Haiwen Huang and Wendong Wang,https://www.sciencedirect.com/science/article/pii/S0031320322003028,https://doi.org/10.1016/j.patcog.2022.108821,0031-3203,2022,108821,130,Pattern Recognition,LSRML: A latent space regularization based meta-learning framework for MR image segmentation,article,ZHANG2022108821,
"Few-shot fine-grained recognition (FS-FGR) aims to distinguish several highly similar objects from different sub-categories with limited supervision. However, traditional few-shot learning solutions typically exploit image-level features and are committed to capturing global silhouettes while accidentally ignore to exploring local details, resulting in an inevitable problem of inconspicuous but distinguishable information loss. Thus, how to effectively address the fine-grained recognition issue given limited samples still remains a major challenging. In this article, we tend to propose an effective bidirectional pyramid architecture to enhance internal representations of features to cater to fine-grained image recognition task in the few-shot learning scenario. Specifically, we deploy a multi-scale feature pyramid and a multi-level attention pyramid on the backbone network, and progressively aggregated features from different granular spaces via both of them. We then further present an attention-guided refinement strategy in collaboration with a multi-level attention pyramid to reduce the uncertainty brought by backgrounds conditioned by limited samples. In addition, the proposed method is trained with the meta-learning framework in an end-to-end fashion without any extra supervision. Extensive experimental results on four challenging and widely-used fine-grained benchmarks show that the proposed method performs favorably against state-of-the-arts, especially in the one-shot scenarios.","Few-shot learning, Fine-grained recognition, Weakly-supervised learning",Hao Tang and Chengcheng Yuan and Zechao Li and Jinhui Tang,https://www.sciencedirect.com/science/article/pii/S0031320322002734,https://doi.org/10.1016/j.patcog.2022.108792,0031-3203,2022,108792,130,Pattern Recognition,Learning attention-guided pyramidal features for few-shot fine-grained recognition,article,TANG2022108792,
"Unsupervised retrieval of image features is vital for many computer vision tasks where the annotation is missing or scarce. In this work, we propose a new unsupervised approach to detect the landmarks in images, validating it on the popular task of human face key-points extraction. The method is based on the idea of auto-encoding the wanted landmarks in the latent space while discarding the non-essential information (and effectively preserving the interpretability). The interpretable latent space representation (the bottleneck containing nothing but the wanted key-points) is achieved by a new two-step regularization approach. The first regularization step evaluates transport distance from a given set of landmarks to some average value (the barycenter by Wasserstein distance). The second regularization step controls deviations from the barycenter by applying random geometric deformations synchronously to the initial image and to the encoded landmarks. We demonstrate the effectiveness of the approach both in unsupervised and semi-supervised training scenarios using 300-W, CelebA, and MAFL datasets. The proposed regularization paradigm is shown to prevent overfitting, and the detection quality is shown to improve beyond the state-of-the-art face models.",,Iaroslav Bespalov and Nazar Buzun and Dmitry V. Dylov,https://www.sciencedirect.com/science/article/pii/S0031320322002977,https://doi.org/10.1016/j.patcog.2022.108816,0031-3203,2022,108816,131,Pattern Recognition,BRULÃ: Barycenter-Regularized Unsupervised Landmark Extraction,article,BESPALOV2022108816,
"Clustering methods are based on the computations of both the distances between every pair of the n observations in a multivariate dataset as well as the distances between every pair of clusters in the dataset. The clusters can have different locations and varying elliptical shapes and directions. Numerous methods have been proposed in the literature for computing both of these two types of distances. The contributions of this paper are two folds. First, we propose a new elliptical distance between pairs of clusters in a dataset with different cluster centers and elliptical shapes and directions, Second, we proved analytically that the Ward distance and the Euclidean distance are equivalent. We propose a new classical method for computing the distance between a pair of clusters in the dataset. It is the only distance that does not assume spherical clusters. The proposed classical distances could also be made robust by replacing estimates of location and scale by their respective robust estimators. The proposed distance has a number of advantages including simplicity, interpretability, computational efficiency as well as the ability to accurately capture both the variability of the cluster centers as well as the variability of shapes and directions of their respective covariance matrices. The method is also illustrated by several motivating examples that demonstrate the need of the new proposed distance. The superiority of the proposed method is also demonstrated by application to real-life as well as challenging synthetic data.","Clustering methods, Complete linkage, Elliptical distance, Euclidean distance, Hamming distance, Hierarchical clustering, Iris data, -Means clustering, Manhattan distance, Single linkage, Robust estimation, Ward method",Ali S. Hadi,https://www.sciencedirect.com/science/article/pii/S0031320322002618,https://doi.org/10.1016/j.patcog.2022.108780,0031-3203,2022,108780,129,Pattern Recognition,"A new distance between multivariate clusters of varying locations, elliptical shapes, and directions",article,HADI2022108780,
"High-dimension and low-sample-size (HDLSS) data sets have posed great challenges to many machine learning methods. To deal with practical HDLSS problems, development of new classification techniques is highly desired. After the cause of the over-fitting phenomenon is identified, a new classification criterion for HDLSS data sets, termed tolerance similarity, is proposed to emphasize maximization of within-class variance on the premise of class separability. Leveraging on this criterion, a novel linear binary classifier, termed No-separated Data Maximum Dispersion classifier (NPDMD), is designed. The main idea of the NPDMD is to spread samples of two classes in a large interval in the respective positive or negative space along the projecting direction when the distance between the projection means for two classes is large enough. The salient features of the proposed NPDMD are: (1) The NPDMD operates well on HDLSS data sets; (2) The NPDMD solves the objective function in the entire feature space to avoid the data-piling phenomenon. (3) The NPDMD leverages on the low-rank property of the covariance matrix for HDLSS data sets to accelerate the computation speed. (4) The NPDMD is suitable for different real-word applications. (5) The NPDMD can be implemented readily using Quadratic Programming. Not only theoretical properties of the NPDMD have been derived, but also a series of evaluations have been conducted on one simulated and six real-world benchmark data sets, including face classification and mRNA classification. Experimental results and comprehensive studies demonstrate the superiority of the NPDMD in terms of correct classification rate, mean within-group correct classification rate and the area under the ROC curve.","Binary linear classifier, Quadratic programming, Data piling, Covariance matrix",Liran Shen and Meng Joo Er and Qingbo Yin,https://www.sciencedirect.com/science/article/pii/S0031320322003090,https://doi.org/10.1016/j.patcog.2022.108828,0031-3203,2022,108828,130,Pattern Recognition,Classification for high-dimension low-sample size data,article,SHEN2022108828,
