abstract,keywords,author,url,doi,issn,year,pages,volume,journal,title,ENTRYTYPE,ID
"Generative Adversarial Imitation Learning (GAIL) can learn policies without explicitly defining the reward function from demonstrations. GAIL has the potential to learn policies with high-dimensional observations as input, e.g., images. By applying GAIL to a real robot, perhaps robot policies can be obtained for daily activities like washing, folding clothes, cooking, and cleaning. However, human demonstration data are often imperfect due to mistakes, which degrade the performance of the resulting policies. We address this issue by focusing on the following features: (1) many robotic tasks are goal-reaching tasks, and (2) labeling such goal states in demonstration data is relatively easy. With these in mind, this paper proposes Goal-Aware Generative Adversarial Imitation Learning (GA-GAIL), which trains a policy by introducing a second discriminator to distinguish the goal state in parallel with the first discriminator that indicates the demonstration data. This extends a standard GAIL framework to more robustly learn desirable policies even from imperfect demonstrations through a goal-state discriminator that promotes achieving the goal state. Furthermore, GA-GAIL employs the Entropy-maximizing Deep P-Network (EDPN) as a generator, which considers both the smoothness and causal entropy in the policy update, to achieve stable policy learning from two discriminators. Our proposed method was successfully applied to two real-robotic cloth-manipulation tasks: turning a handkerchief over and folding clothes. We confirmed that it learns cloth-manipulation policies without task-specific reward function design. Video of the real experiments are available at this URL.","Generative adversarial imitation learning, Robotic cloth manipulation, Deep reinforcement learning",Yoshihisa Tsurumine and Takamitsu Matsubara,https://www.sciencedirect.com/science/article/pii/S0921889022001543,https://doi.org/10.1016/j.robot.2022.104264,0921-8890,2022,104264,158,Robotics and Autonomous Systems,Goal-aware generative adversarial imitation learning from imperfect demonstration for robotic cloth manipulation,article,TSURUMINE2022104264
"Device-to-device communication is an enabling technology for direct connection between two or more devices/users without the intermediation of a base station (BS). In heterogeneous device-to-device networks, technology such as femtocell suggests advantages such as improving coverage area, spectral efficiency, and increased capacity. However, several challenging issues like interference, resource allocation, and power control strategies need to be addressed in the macrocell?femtocell-D2D heterogeneous network. This research presents a solution for resource allocation in D2D networks by proposing a Stackelberg game approach to increase network performance and throughput. The proposed study examines a framework for a two-leader multiple-followers Stackelberg game in which the leaders are macrocell base station (MBS) and femtocell base station (FBS), and the numerous followers are D2D pairings. Based on their mobility in the cell zone, D2D users are divided into three types Each leader and follower are designed with a different utility function. The paper is focused to minimize the interference in the system and maximize the system throughput. The game is solved to a Stackelberg equilibrium and ensures D2D communication continues with optimal transmit power. The assignment of resources among various contending users using the Hungarian algorithm. The proposed model is validated through simulations in MATLAB. The results show that the proposed model reduced the interference in the network and increased the throughput of the system in terms of price, transmit power and D2D rate.","Resource management, Base station, Leader, Follower, D2D, Price, Power",Roopsi Rathi and Saurav Dixit and Shweta Bansal and Kaushal Kumar and Natalia Taskaeva and Tumanov A.Yu. and Vinod John,https://www.sciencedirect.com/science/article/pii/S0921889022001300,https://doi.org/10.1016/j.robot.2022.104222,0921-8890,2022,104222,156,Robotics and Autonomous Systems,Stackelberg game approach for resource allocation in device-to-device communication with heterogeneous networks,article,RATHI2022104222
"This paper proposes a novel robust saturated actor?critic multi-layer neural network controller for electrically-driven tractors with n-trailer with unmeasurable linear and angular velocities, uncertain complex dynamics and actuator saturation while guaranteeing a prescribed performance with employing the motor dynamics. The proposed controller consists of four control loops. In the first loop, tracking errors are transformed into constraint errors via prescribed performance bounds. Then, a kinematic controller is designed. In the second loop, an output feedback robust dynamic controller is proposed via multi-layer actor?critic neural networks to approximate model uncertainties, a high-gain observer (HGO) to estimate velocities, and an adaptive robust controller to compensate external dynamic disturbances. Afterwards, a robust actuator controller is designed in third loop by employing multi-layer actor?critic neural networks to deeply diminish unknown nonlinear functions effects, and an adaptive robust controller to handle the bounded actuator disturbances. An auxiliary subsystem is considered in the final loop to reduce the danger of actuator saturation by designing an auxiliary intermediate controller. The stability under the proposed controller is studied by the Lyapunov stability synthesis, and it is proven that tracking errors remain uniformly ultimately bounded. Finally, the validity, reliability, and effectiveness of the proposed reinforcement learning-based controller is shown by means of multiple simulations and some comparisons with a quantitative study.","Actuator saturation, Actuator dynamics, Reinforcement learning control, High-gain observer, Prescribed performance, Tractor with -trailer",Omid Elhaki and Khoshnam Shojaei,https://www.sciencedirect.com/science/article/pii/S0921889022000574,https://doi.org/10.1016/j.robot.2022.104106,0921-8890,2022,104106,154,Robotics and Autonomous Systems,Output-feedback robust saturated actor?critic multi-layer neural network controller for multi-body electrically driven tractors with n-trailer guaranteeing prescribed output constraints,article,ELHAKI2022104106
"Task and motion planning in robotics are typically addressed by separated intertwined methods. Task planners generate abstract high-level actions to be executed, while motion planners provide the associated discrete movements in the configuration space satisfying kinodynamic constraints. However, these two planning processes are strictly dependent, therefore the problem of combining task and motion planning with a uniform approach is very relevant. In this work, we tackle this issue by proposing a RRT-based method that addresses combined task and motion planning. Our approach relies on a combined metric space where both symbolic (task) and sub-symbolic (motion) spaces are represented. The associated notion of distance is then exploited by a RRT-based planner to generate a plan that includes both symbolic actions and feasible movements in the configuration space. The proposed method is assessed in several case studies provided by a real-world hospital logistic scenario, where an omni-directional mobile robot is involved in navigation and transportation tasks.","Robot planning, Sampling-based planning, Rapidly-exploring random trees, Mobile robotics",Riccardo Caccavale and Alberto Finzi,https://www.sciencedirect.com/science/article/pii/S0921889022001385,https://doi.org/10.1016/j.robot.2022.104238,0921-8890,2022,104238,157,Robotics and Autonomous Systems,A rapidly-exploring random trees approach to combined task and motion planning,article,CACCAVALE2022104238
"Rotary joint is used in robotic arm for mobility aids and rehabilitation device. The rotary joint often requires a compactness, a lightness, and a large load capacity in robotics as well as automation manufacturing. However, the experience-based design methods take a lot of time, finances, and human resources to achieve the mentioned multiple functions. To overcome the above difficulties, the article proposes a new design technique to solve the structural optimization for the rotary joint. The proposed optimization technique is formed by topology method, analysis of variance, finite element method, adaptive neuro-fuzzy inference system model, and water cycle moth-flame optimization algorithm. A new rotary joint is designed via the topology optimization. The adaptive neuro-fuzzy inference system is optimized by Taguchi technique to enhance the modeling accuracy. The geometry of the joint is optimized by the water cycle moth-flame optimization algorithm. The results found that the rotary joint can stand a torque of 357.46 N.mm with the equivalent stress up to 489.98 MPa. The difference between the optimal prediction results and simulations are 0.27% and 0.58% for the moment reaction and the equivalent stress, respectively. The small error proves the developed hybrid method has a high reliability.","Rotary joint, Topology-size optimization, Finite element method, Neural-fuzzy, Water cycle moth-flame optimization algorithm, Robotics, Automation manufacturing",Ngoc {Le Chau} and Minh Phung Dang and Chander Prakash and Dharam Buddhi and Thanh-Phong Dao,https://www.sciencedirect.com/science/article/pii/S0921889022001142,https://doi.org/10.1016/j.robot.2022.104199,0921-8890,2022,104199,156,Robotics and Autonomous Systems,"Structural optimization of a rotary joint by hybrid method of FEM, neural-fuzzy and water cycle?moth flame algorithm for robotics and automation manufacturing",article,LECHAU2022104199
"Musculoskeletal humanoids have various biomimetic advantages, of which redundant muscle arrangement is one of the most important features. This feature enables variable stiffness control and allows the robot to keep moving its joints even if one of the redundant muscles breaks, but this has been rarely explored. In this study, we construct a neural network that represents the relationship among sensors in the flexible and difficult-to-modelize body of the musculoskeletal humanoid, and by learning this neural network, accurate motions can be achieved. In order to take advantage of the redundancy of muscles, we discuss the use of this network for muscle rupture detection, online update of the intersensory relationship considering the muscle rupture, and body control and state estimation using the muscle rupture information. This study explains a method of constructing a musculoskeletal humanoid that continues to move and perform tasks robustly even when one muscle breaks.","Musculoskeletal humanoid, Redundancy, Neural networks",Kento Kawaharazuka and Manabu Nishiura and Yasunori Toshimitsu and Yusuke Omura and Yuya Koga and Yuki Asano and Kei Okada and Koji Kawasaki and Masayuki Inaba,https://www.sciencedirect.com/science/article/pii/S0921889022000331,https://doi.org/10.1016/j.robot.2022.104067,0921-8890,2022,104067,152,Robotics and Autonomous Systems,Robust continuous motion strategy against muscle rupture using online learning of redundant intersensory networks for musculoskeletal humanoids,article,KAWAHARAZUKA2022104067
"A robust walking stabilization strategy of humanoids on uneven terrain via a QP-based impedance/ admittance control is addressed in this paper. The core idea is combining the following two strategies. The first is to reduce the effect of an unexpected contact force on the centroidal momentum dynamics, and the second is to adjust post-contact reference for the swing foot with which its pose is regulated on the obstacle. The former can be achieved by replacing the task of the trajectory tracking control for the swing foot with its task-space impedance control, and the latter follows by employing the hybrid admittance control combining the admittance control with resetting the post-contact reference. In addition, an optimal set of parameters used for the admittance control is computed via the Taguchi optimal design method. The proposed algorithm is embedded into the momentum-based whole-body control (WBC) framework and verified its validity by multiple simulations with the physics engine.","Humanoid, Hybrid landing control, QP impedance control, Walking stabilization",Joonhee Jo and Gyunghoon Park and Yonghwan Oh,https://www.sciencedirect.com/science/article/pii/S0921889022000859,https://doi.org/10.1016/j.robot.2022.104148,0921-8890,2022,104148,154,Robotics and Autonomous Systems,Robust walking stabilization strategy of humanoid robots on uneven terrain via QP-based impedance/admittance control,article,JO2022104148
"This paper presents hand-impedance measurements during laparoscopic training with physically interactive manipulators. We develop a co-manipulated robotic system allowing hand-impedance measurements in an active manipulation task with occasional environmental contact. Six professional, four trainee surgeons, and ten novice subjects participated in our experimental program for a suturing activity where the novice subjects were involved in a five weeks training practice. Variable admittance controlled robots, attached to the tools with force sensors, applied step vice velocity disturbances while subjects were trying to set the needle perpendicular to the surgical driver. Hereby, impedances of the left and right hands were computed in four different directions. Then, the measured impedance parameters across all subjects were compared with respect to the participants? level of proficiency and skill progression via statistical analyses to demonstrate effectiveness of the system. Results indicate that hand-impedance in the direction of the suturing-line demonstrates a consistent change throughout training and across different levels of expertise in laparoscopy. Therefore, hand-impedance information, proposed here, can pave the way for future development of robotic assessment or assistance in laparoscopy training programs.","Human-robot interaction, Hand-impedance, Laparoscopy training",Harun Tugal and Benjamin Gautier and Benjie Tang and Ghulam Nabi and Mustafa Suphi Erden,https://www.sciencedirect.com/science/article/pii/S0921889022000732,https://doi.org/10.1016/j.robot.2022.104130,0921-8890,2022,104130,154,Robotics and Autonomous Systems,Hand-impedance measurements with robots during laparoscopy training,article,TUGAL2022104130
"This paper presents a new approach for a safe autonomous navigation based on reliable state space reachability analysis. This latter improves an already proposed flexible Navigation Strategy based on Sequential Waypoint Reaching (NSbSWR) framework (Vilca et al., 2015), while considering explicitly different uncertainties in modeling and/or perception. Indeed, NSbSWR is an emergent concept that exploits its flexibility and genericity to avoid frequent complex trajectories? planning/re-planning. The paper?s main contribution is to introduce a reachability analysis scheme as a reliable risk assessment and management policy ensuring safe autonomous navigation between the successive assigned waypoints. For this aim, interval analysis is employed to propagate uncertainties influencing the vehicle?s dynamics into the navigation system states. By solving an ordinary differential equation with uncertain variables and parameters via an interval Taylor series expansion method, all the vehicle potential reachable state-space is revealed. According to the obtained bounds of the reachable sets, a decision about the navigation safety is made. Once a collision risk is captured, the risk management layer acts to update the control parameters to master the critical situation and guarantee a proper reaching of waypoint, while avoiding any risky state. Several simulation results prove the safety, efficiency and robustness of the overall navigation under uncertainties.","Autonomous navigation, Sequential waypoint-based navigation, Risk assessment and management, Reachability analysis, Interval Taylor models",Nadhir Mansour {Ben Lakhal} and Lounis Adouane and Othman Nasri and Jaleleddine {Ben Hadj Slama},https://www.sciencedirect.com/science/article/pii/S092188902200032X,https://doi.org/10.1016/j.robot.2022.104065,0921-8890,2022,104065,152,Robotics and Autonomous Systems,Safe and adaptive autonomous navigation under uncertainty based on sequential waypoints and reachability analysis,article,BENLAKHAL2022104065
"A multi-locomotion mode ankle rehabilitation robot (MLMARR) based on the 2-UPU/RPU (U: universal; P: prismatic; R: revolute) parallel mechanism with actuators above the end effector is proposed. In addition to the rehabilitation training of the basic motion orientation of the ankle, the MLMARR enables up/down or back/forth traction rehabilitation training, ensuring the training of muscle groups and ligaments related to the ankle motion. First, degrees-of-freedom analysis is conducted based on the screw theory. Subsequently, using the closed-loop vector method and coordinate system rotation transformation, inverse position analysis is performed and the Jacobian matrix is described. In addition, three types of kinematic singularities are identified by analyzing the Jacobian matrix. Moreover, the workspace is determined by the limit boundary method. Three rehabilitation training modes are set and dynamic simulations are performed according to the ankle rehabilitation requirements; on this basis, the linear actuators can be selected reasonably. Finally, the effectiveness and accuracy of rehabilitation training are evaluated based on experimental data obtained using an MLMARR prototype. This research reveals the characteristics and superiority of the proposed MLMARR and offers the basis for the future improvement of the device.","Ankle rehabilitation robot, Multi-locomotion mode, Parallel mechanism, Performance analysis, Trajectory planning",Ya Liu and Wenjuan Lu and Huafang Wu and Yici Xia and Bo Hu and Daxing Zeng,https://www.sciencedirect.com/science/article/pii/S0921889022001427,https://doi.org/10.1016/j.robot.2022.104246,0921-8890,2022,104246,157,Robotics and Autonomous Systems,Performance analysis and trajectory planning of multi-locomotion mode ankle rehabilitation robot,article,LIU2022104246
